X,Y,fid,ID Bob,ID_BUDYNKU_PK,SYM_MIEJSCOWOSCI,WOJEWODZTWO_NAZWA,POWIAT_NAZWA,GMINA_NAZWA,NAZWA_MIEJSCOWOSCI,SYM_UL,PREFIX_UL,NAZWA_ULICY,NR_BUDYNKU,WSP_Y,WSP_X,LOKALE_RAZEM (po weryfikacji),MDU/SDU,FUNKCJA_BUDYNKU,Typ inwestycji,_OBSZAR_OLT,field_19,field_20,Planowany termin oddania,weryfikacja,icon_url
19.015065,49.814641,"11","45877248","184488","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"157",ul,Akacjowa,"19",49.814641,19.015065,"1",SDU non-penetrated,Mieszkalny - jednorodzinny, zamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
19.014854,49.814537,"12","45877255","184489","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"157",ul,Akacjowa,"21",49.814537,19.014854,"1",SDU non-penetrated,Mieszkalny - jednorodzinny, zamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
19.003984,49.824557,"222","45885651","185334","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"1054",ul,Berestecka,"15",49.824557,19.003984,"1",SDU non-penetrated,Mieszkalny - jednorodzinny, niezamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
19.003609,49.82447,"223","45885658","185335","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"1054",ul,Berestecka,"17",49.82447,19.003609,"1",SDU non-penetrated,Mieszkalny - jednorodzinny, zamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
19.003489,49.823994,"224","45885665","185336","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"1054",ul,Berestecka,"25",49.823994,19.003489,"2",SDU non-penetrated,Mieszkalny - jednorodzinny, zamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
19.002606,49.82436,"225","45885672","185337","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"1054",ul,Berestecka,"6",49.82436,19.002606,"1",SDU non-penetrated,Mieszkalny - jednorodzinny, zamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
19.013109,49.818724,"339","45892025","185968","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"2058",ul,Bratków,"12",49.818724,19.013109,"1",SDU non-penetrated,Mieszkalny - jednorodzinny, zamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
19.011752,49.818202,"340","45892053","185972","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"2058",ul,Bratków,"24",49.818202,19.011752,"1",SDU non-penetrated,Mieszkalny - jednorodzinny, zamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
19.013618,49.818918,"341","45892102","185979","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"2058",ul,Bratków,"8",49.818918,19.013618,"2",SDU non-penetrated,Mieszkalny - jednorodzinny, zamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
19.015823,49.818861,"342","45892299","185999","923584",śląskie,Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,"2104",ul,Brodzińskiego,28A,49.818861,19.015823,"2",SDU non-penetrated,Mieszkalny - jednorodzinny, niezamieszkały,B2C - Greenfield,NEW_OLT_Bielsko-Biała_2,Do zlecenia,30-11-2023,OK,./0.png
